kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
b+tree-rodinia-3.4.sm_75.ptx 181 : 10000 61623 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 181 : 1536000 9483328 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 180 : 10000 1693013 33376 0 0 10000 10000 0 0 
b+tree-rodinia-3.8.sm_75.ptx 180 : 1536000 14196736 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 179 : 10000 91535 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 179 : 1536000 14136224 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 167 : 641729 5854509 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 167 : 186436 33340930 0 0 0 30983 8883 0 0 
b+tree-rodinia-3.8.sm_75.ptx 166 : 186436 1716325 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 162 : 186436 1711129 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 178 : 10000 92897 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 178 : 1536000 329114176 37504 0 0 48000 48000 0 0 
b+tree-rodinia-3.8.sm_75.ptx 99 : 1536000 8579136 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 98 : 1536000 9652768 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 265 : 6000 32590 0 0 0 0 0 0 0 
b+tree-rodinia-3.4.sm_75.ptx 165 : 2560000 10050468 0 0 0 0 0 0 9648 
b+tree-rodinia-3.8.sm_75.ptx 165 : 186436 1719231 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 86 : 1536000 8608896 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 253 : 392835 2039430 0 0 0 0 0 0 5815 
b+tree-rodinia-3.4.sm_75.ptx 164 : 2560000 15699424 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 164 : 186436 1700035 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 85 : 1536000 0 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 252 : 392835 2474026 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 163 : 186436 1719846 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 84 : 1536000 9685952 0 0 0 0 0 0 0 
b+tree-rodinia-3.8.sm_75.ptx 251 : 392835 67096519 0 0 0 62342 15208 0 0 
b+tree-rodinia-3.4.sm_75.ptx 82 : 2560000 13862976 0 0 0 0 0 0 0 
