kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop-rodinia-3.4.sm_75.ptx 66 : 1048576 6534080 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 65 : 1048576 6806816 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 231 : 1048576 5464192 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 64 : 1048576 310163648 4303136 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 63 : 1048576 10307328 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 62 : 1048576 9797184 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 228 : 16 608 0 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 61 : 1048576 6218112 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 227 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 60 : 1048576 11302240 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 226 : 16 208 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 59 : 1048576 9859328 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 225 : 16 208 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 58 : 1048576 9875808 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 224 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 57 : 1048576 6725408 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 221 : 16 4016 0 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 54 : 65536 641608 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 220 : 16 80 0 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 53 : 65536 16165748 256032 0 0 40960 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 219 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 52 : 65536 608796 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 207 : 16 7680 0 0 0 3 1 0 0 
backprop-rodinia-3.4.sm_75.ptx 40 : 1048576 6706208 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 119 : 1048576 5735820 0 0 0 0 0 0 32768 
backprop-rodinia-3.4.sm_75.ptx 206 : 16 144 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 39 : 1048576 5819456 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 118 : 1048576 5520224 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 38 : 1048576 12518336 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 117 : 1048576 23684832 0 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 204 : 1048576 5463952 0 0 0 0 0 0 1 
backprop-rodinia-3.4.sm_75.ptx 37 : 1048576 12302848 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 116 : 1048576 34871840 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 72 : 1048576 38800320 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 202 : 1048576 6441920 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 35 : 1048576 12079232 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 73 : 1048576 40628064 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 203 : 1048576 6398240 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 36 : 1048576 12125824 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 115 : 1048576 6488768 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 208 : 16 96 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 41 : 1048576 6330784 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 120 : 65536 387326 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 209 : 16 144 0 0 0 0 0 0 0 
